             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           7838745    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838744    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838743    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838742    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838741    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838740    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838739    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838737    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838736    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838735    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838734    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838733    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838732    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838731    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838729    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838728    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838727    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838726    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838725    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838724    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838723    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838721    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838720    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838719    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838718    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838717    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838716    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838715    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838709    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838708    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838706    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838705    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838704    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838703    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838702    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838701    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838700    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838699    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838697    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838696    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838694    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838693    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838692    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838691    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838690    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838689    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838688    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838687    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838686    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838683    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838682    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838668    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838667    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
